tract,Name,Household_Income_rP_gP_p25
27123033800,"Summit - University, Saint Paul, MN",25367
27053002200,"Hawthorne, Minneapolis, MN",25327
27053102000,"Willard-Hay, Minneapolis, MN",25110
27053106000,"Phillips, Minneapolis, MN",24937
27123033900,"Summit - University, Saint Paul, MN",24936
27053100900,"McKinley, Minneapolis, MN",24646
27053105700,"Central Minneapolis, Minneapolis, MN",24639
27053104100,"Harrison, Minneapolis, MN",24578
27053126000,"Phillips, Minneapolis, MN",24489
27053125700,"Jordan, Minneapolis, MN",24452
27053102100,"Jordan, Minneapolis, MN",24332
27053008500,"Powderhorn, Minneapolis, MN",24169
27053008200,"Lyndale, Minneapolis, MN",23890
27053003200,"Willard-Hay, Minneapolis, MN",23798
27053003300,"Near North, Minneapolis, MN",23682
27053023600,"Country Club, Minneapolis, MN",23678
27053107000,"Powderhorn, Minneapolis, MN",23409
27123034000,"Cathedral Hill, Saint Paul, MN",23351
27053101300,"Jordan, Minneapolis, MN",23241
27053125800,"Midtown Phillips, Minneapolis, MN",23096
27053110000,"Bryant, Minneapolis, MN",22882
27053009500,"Central, Minneapolis, MN",22663
27053002700,"Willard-Hay, Minneapolis, MN",21515
27053125900,"Phillips, Minneapolis, MN",20813
27053105400,"Central Minneapolis, Minneapolis, MN",20417
27053102800,"Willard-Hay, Minneapolis, MN",20060
27053005902,"Phillips, Minneapolis, MN",18843
27123980000,"Highwood, Saint Paul, MN",
